S/O,Date,Customer,Item,Specific Item,Quantity,Packaging,Price,Outstanding Quantity,Outstanding Weight Left,Outstanding/MT,Dealt Quantity,Dealt Quantity/ton,Price: USD/tonne,Last Updated,COUNTRY
S/O2410-075,30/10/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE,5,800KG-IBC,1.11/KG,0,0,0,4000,4,841,4-Nov,
S/O2410-086,8/10/24,LEA TAT CHEMICALS PTE LTD,MEK,METHYL ETHYL KETONE (BULK),80,165-DR,1.17/KG,80,13200,13.2,13200,13.2,,11/11/24,
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,MINERAL TURPENTINE,MINERAL TURPENTINE,28,162-DR,"1,360.00/MT",28,4536,4.536,4536,4.536,,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,P.100,AROMAX 100,1512,0,0,0,1512,1.512,1512,1.512,1040,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,MIBK,METHYL ISOBUTYL KETONE,16,165-DR,"2,000.00/MT",16,2640,2.64,2640,2.64,1680,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,EAC,ETHYL ACETATE,16,180-DR,"1,145.00/MT",16,2880,2.88,2880,2.88,850,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,IPA,ISOPROPYL ALCOHOL,8,162-DR,"1,530.00/MT",8,1296,1.296,1296,1.296,1200,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,P.3040,ALIPAX 3040,3024,0,0,0,3024,3.024,3024,3.024,950,11/11/24,AUS/NZ
S/O2410-089,9/10/24,HILDITCH PTY. LTD.,P.3040,ALIPAX 3040,12,161-DR,"1,280.00/MT",12,1932,1.932,1932,1.932,950,11/11/24,AUS/NZ
S/O2410-091,11/11/24,FUJIFILM ASIA PACIFIC PTE. LTD.,XYLENE,XYLENE (Y5RX0001),8,179-DR,1.52/KG,8,1432,1.432,1432,1.432,1022,11/11/24,
S/O2410-092,17/10/24,FUJIFILM ASIA PACIFIC PTE. LTD.,DAA,DIACETONE ALCOHOL (Y5RD0019D),24,195-DR,2.18/KG,12,2340,2.34,4680,4.68,,11/11/24,
S/O2410-095,24/10/24,TOYO INK PTE LTD,TOL,TOLUENE (BULK),8,895KG-IBC,1.22/KG,6,5370,5.37,7160,7.16,924,11/11/24,
S/O2410-095,24/10/24,TOYO INK PTE LTD,IPA,ISOPROPYL ALCOHOL (BULK),2,776KG-IBC,1.57/KG,2,1552,1.552,1552,1.552,1189,11/11/24,
S/O2410-095,24/10/24,TOYO INK PTE LTD,EAC,ETHYL ACETATE (BULK),5,900KG-IBC,1.10/KG,5,4500,4.5,4500,4.5,833,11/11/24,
S/O2410-101,30/10/24,TOYO INK PTE LTD,BG,BUTYL GLYCOL,5,185-DR,1.88/KG,5,925,0.925,925,0.925,,11/11/24,
S/O2410-101,30/10/24,TOYO INK PTE LTD,METHANOL,METHANOL,1,815KG-IBC,0.53/KG,1,815,0.815,815,0.815,,11/11/24,
S/O2410-101,30/10/24,TOYO INK PTE LTD,P1425,ALIPAX 1425,10,143-DR,1.59/KG,10,1430,1.43,1430,1.43,,11/11/24,
S/O2410-101,30/10/24,TOYO INK PTE LTD,NPROPANO,N-PROPANOL,15,165-DR,1.61/KG,15,2475,2.475,2475,2.475,,11/11/24,
S/O2410-109,10/10/24,PREMIAFLEX PLASTICS LIMITED,THINNER 1,THINNER GENERAL,240,181-DR,"1,200.00/MT",240,43440,43.44,43440,43.44,,11/11/24,BANGLA
S/O2410-109,10/10/24,PREMIAFLEX PLASTICS LIMITED,EAC,ETHYL ACETATE,19440,0,0,0,19440,19.44,19440,19.44,840,11/11/24,BANGLA
S/O2410-109,10/10/24,PREMIAFLEX PLASTICS LIMITED,TOL,TOLUENE,19200,0,0,0,19200,19.2,19200,19.2,970,11/11/24,BANGLA
S/O2410-109,10/10/24,PREMIAFLEX PLASTICS LIMITED,MIBK,METHYL ISOBUTYL KETONE,4800,0,0,0,4800,4.8,4800,4.8,1650,11/11/24,BANGLA
S/O2410-111,11/10/24,RECOCHEM INC,P1425,ALIPAX 1425 (R55) (ITEM CODE: 16225-BBREC),36,715 KG-IBC,"1,580.00/MT",36,25740,25.74,25740,25.74,,11/11/24,
S/O2410-116,8/11/24,FUJIFILM ASIA PACIFIC PTE. LTD.,ALIPAX D80E,ALIPAX D80 (Y5RE0024),32,160-DR,1.96/KG,32,5120,5.12,5120,5.12,,11/11/24,
S/O2410-117,1/11/24,FUJIFILM ASIA PACIFIC PTE. LTD.,P.100,AROMAX 100 (MATERIAL NO. Y5RS0024),80,180-DR,1.65/KG,64,11520,11.52,14400,14.4,1105,11/11/24,
S/O2410-127,14/10/24,UNILITE CHEMICALS PTE LTD,ACETONE,ACETONE,7,160-DR,1.51/KG,7,1120,1.12,1120,1.12,1022,11/11/24,
S/O2410-130,13/11/24,FUJIFILM ASIA PACIFIC PTE. LTD.,P.3040,ALIPAX 3040 (Y5RS0022),24,161-DR,1.50/KG,24,3864,3.864,3864,3.864,985,11/11/24,
S/O2410-133,1/11/24,SAKATA INX (BANGLADESH) PRIVATE LIMITED,MEK,METHYL ETHYL KETONE ,"18,000",KG,"1,300.00/MT","18,000","18,000",18,"18,000",18,1135,11/11/24,BANGLA
S/O2410-134,15/10/24,JACKWAY CONVERTOR IND. PTE LTD,THINNER 631 (IBC),THINNER 631 (IBC) JW,1,800KG-IBC,1.32/KG,1,800,0.8,800,0.8,,11/11/24,
S/O2410-134,15/10/24,JACKWAY CONVERTOR IND. PTE LTD,TOL,TOLUENE,480,0,0,0,480,0.48,480,0.48,,11/11/24,
S/O2410-134,15/10/24,JACKWAY CONVERTOR IND. PTE LTD,IPA,ISOPROPYL ALCOHOL,240,0,0,0,240,0.24,240,0.24,,11/11/24,
S/O2410-134,15/10/24,JACKWAY CONVERTOR IND. PTE LTD,EAC,ETHYL ACETATE,80,0,0,0,80,0.08,80,0.08,,11/11/24,
S/O2410-142,23/10/24,SHINCHEM SOLUTIONS PTE LTD,IPA,ISOPROPYL ALCOHOL,40,162-DR,1.70/KG,39,6318,6.318,6480,6.48,1175,11/11/24,
S/O2410-142,23/10/24,SHINCHEM SOLUTIONS PTE LTD,IPA,ISOPROPYL ALCOHOL (2ND CHOICE DRUM),80,162-DR,1.75/KG,80,12960,12.96,12960,12.96,,11/11/24,
S/O2410-143,4/11/24,CHEMTECH TRADING PTE. LTD.,ACETONE,ACETONE (BULK-CUST OWN DRUM),10,160-DR,1.26/KG,10,1600,1.6,1600,1.6,947,11/11/24,
S/O2410-143,4/11/24,CHEMTECH TRADING PTE. LTD.,IPA,ISOPROPYL ALCOHOL(BULK-CUST OWN DRUM),20,160-DR,1.50/KG,20,3200,3.2,3200,3.2,1136,11/11/24,
S/O2410-148,17/10/24,TITAS ENTERPRISE,ACETONE,"ACETONE = 36,000 KGS =","36,000",KG,"1,135.00/MT","36,000","36,000",36,"36,000",36,960,11/11/24,BANGLA
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,MEK,METHYL ETHYL KETONE ,2,165-DR,"1,300.00/MT",0,0,0,330,0.33,1150,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,XYLENE,XYLENE,8,179-DR,"1,070.00/MT",0,0,0,1432,1.432,930,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,N-BUTANOL,N-BUTANOL,4,165-DR,"1,230.00/MT",0,0,0,660,0.66,,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,PMA-B,PMA (B),4,200-DR,"1,250.00/MT",0,0,0,800,0.8,,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,BAC,N-BUTYL ACETATE,6,180-DR,"1,165.00/MT",0,0,0,1080,1.08,,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,P.100,AROMAX 100,4,180-DR,"1,170.00/MT",0,0,0,720,0.72,1030,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,MIBK,METHYL ISOBUTYL KETONE,4,165-DR,"1,790.00/MT",0,0,0,660,0.66,1640,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,IPA,ISOPROPYL ALCOHOL,4,162-DR,"1,330.00/MT",0,0,0,648,0.648,1180,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,TOL,TOLUENE,34,179-DR,"1,070.00/MT",0,0,0,6086,6.086,930,4-Nov,AUS/NZ
S/O2410-149,28/10/24,KERR BROTHERS EXPORTS,ACETONE,ACETONE ,10,160-DR,"1,100.00/MT",0,0,0,1600,1.6,940,4-Nov,AUS/NZ
S/O2410-150,23/10/24,SHINCHEM SOLUTIONS PTE LTD,ISOPAR L,ISOPARAFFIN L,24,156-DR,2.60/KG,16,2496,2.496,3744,3.744,,11/11/24,
S/O2410-153,1/11/24,TECK LEONG KOON KEE,ACETONE,ACETONE,160,18 L,26.80/18 L,135,1890,1.89,2240,2.24,,11/11/24,
S/O2410-157,4/11/24,ABSOTECH PTE LTD,IPA,ISOPROPYL ALCOHOL (BULK),"72,000",KG,1.20/KG,"72,000","72,000",72,"72,000",72,,11/11/24,
S/O2410-161,22/10/24,DOVECHEM PACKAGING PTE LTD,XYLENE,XYLENE (2ND CHOICE DRUM),16,179-DR,1.61/KG,16,2864,2.864,2864,2.864,1112,11/11/24,
S/O2410-162,22/10/24,SUPERIOR MULTI-PACKAGING LIMITED,THINNER SOLVENT-13,THINNER SOLVENT-13 - blend for buffer stock ,4,800KG-IBC,-/KG,4,3200,3.2,3200,3.2,,11/11/24,
S/O2410-162,22/10/24,SUPERIOR MULTI-PACKAGING LIMITED,TOL,TOLUENE,1600,0,0,0,1600,1.6,1600,1.6,,11/11/24,
S/O2410-162,22/10/24,SUPERIOR MULTI-PACKAGING LIMITED,EAC,ETHYL ACETATE,640,0,0,0,640,0.64,640,0.64,,11/11/24,
S/O2410-162,22/10/24,SUPERIOR MULTI-PACKAGING LIMITED,IPA,ISOPROPYL ALCOHOL,320,0,0,0,320,0.32,320,0.32,,11/11/24,
S/O2410-162,22/10/24,SUPERIOR MULTI-PACKAGING LIMITED,MEK,METHYL ETHYL KETONE,640,0,0,0,640,0.64,640,0.64,,11/11/24,
S/O2410-163,23/10/24,SUPERIOR MULTI-PACKAGING LIMITED,THINNER TAF C,THINNER TAF C ,2,800KG-IBC,-/KG,2,1600,1.6,1600,1.6,,11/11/24,
S/O2410-163,23/10/24,SUPERIOR MULTI-PACKAGING LIMITED,TOL,TOLUENE,960,0,0,0,960,0.96,960,0.96,,11/11/24,
S/O2410-163,23/10/24,SUPERIOR MULTI-PACKAGING LIMITED,EAC,ETHYL ACETATE,160,0,0,0,160,0.16,160,0.16,,11/11/24,
S/O2410-163,23/10/24,SUPERIOR MULTI-PACKAGING LIMITED,MEK,METHYL ETHYL KETONE,480,0,0,0,480,0.48,480,0.48,,11/11/24,
S/O2410-164,8/11/24,STAHL ASIA PACIFIC PTE LTD,IPA,ISOPROPYL ALCOHOL,24,162-DR,1.73/KG,24,3888,3.888,3888,3.888,1203,11/11/24,
S/O2410-170,30/10/24,THE VALSPAR (S) CORP. PTE LTD,P.100,AROMAX 100 (Item code = 032910),230,180-DR,1.13/KG,50,9000,9,41400,41.4,1030,11/11/24,
S/O2410-173,4/11/24,LEA TAT CHEMICALS PTE LTD,P.100,AROMAX 100,10,180-DR,1.15/KG,10,1800,1.8,1800,1.8,1050,11/11/24,
S/O2410-173,4/11/24,LEA TAT CHEMICALS PTE LTD,P1425,ALIPAX 1425,2,143-DR,1.19/KG,2,286,0.286,286,0.286,,11/11/24,
S/O2410-173,4/11/24,LEA TAT CHEMICALS PTE LTD,P.150,AROMAX 150,10,184-DR,1.29/KG,10,1840,1.84,1840,1.84,1190,11/11/24,
S/O2410-176,6/11/24,NIPPON PAINT (SINGAPORE) CO PL,P.3040,ALIPAX 3040 (BULK-IBC),15,770KG-IBC,1.23/KG,15,11550,11.55,11550,11.55,920,11/11/24,
S/O2410-177,4/11/24,NIPPON PAINT (SINGAPORE) CO PL,TOL,TOLUENE (BULK-IBC),12,900KG-IBC,-/KG,12,10800,10.8,10800,10.8,,11/11/24,
S/O2410-178,7/11/24,NIPPON PAINT (SINGAPORE) CO PL,XYLENE,XYLENE (BULK-IBC),20,900KG-IBC,-/KG,20,18000,18,18000,18,,11/11/24,
S/O2410-180,11/11/24,NIPPON PAINT (SINGAPORE) CO PL,ISOBUTANOL,ISO-BUTANOL,24,165-DR,1.67/KG,24,3960,3.96,3960,3.96,,11/11/24,
S/O2410-181,1/11/24,NIPPON PAINT (SINGAPORE) CO PL,IPA,ISOPROPYL ALCOHOL,24,162-DR,-/KG,24,3888,3.888,3888,3.888,,11/11/24,
S/O2410-182,5/11/24,NIPPON PAINT (SINGAPORE) CO PL,MIBK,METHYL ISOBUTYL KETONE,16,165-DR,2.30/KG,16,2640,2.64,2640,2.64,,11/11/24,
S/O2410-183,4/11/24,NIPPON PAINT (SINGAPORE) CO PL,BG,BUTYL GLYCOL,8,185-DR,1.88/KG,0,0,0,1480,1.48,,4-Nov,
S/O2410-184,23/10/24,NIPPON PAINT (SINGAPORE) CO PL,N-BUTANOL,N-BUTANOL,7,165-DR,-/KG,7,1155,1.155,1155,1.155,,11/11/24,
S/O2410-185,23/10/24,NIPPON PAINT (SINGAPORE) CO PL,P.100,AROMAX 100,12,180-DR,1.55/KG,12,2160,2.16,2160,2.16,,11/11/24,
S/O2410-187,23/10/24,SAURER COMPONENTS PTE LTD,METHANOL,METHANOL,8,163-DR,180.00/163-DR,8,1304,1.304,1304,1.304,,11/11/24,
S/O2410-191,24/10/24,FERENTINO TYRE CORPORATION (PVT)LTD,P1425,ALIPAX 1425 =NEW DR=,80,143-DR,"1,565.00/MT",80,11440,11.44,11440,11.44,,11/11/24,
S/O2410-196,24/10/24,GIVAUDAN SINGAPORE PTE LTD,EAC,ETHYL ACETATE - NEW DRUM ,4,180-DR,2.73/KG,4,720,0.72,720,0.72,1902,11/11/24,
S/O2410-197,25/10/24,SAKATA INX (BANGLADESH) PRIVATE LIMITED,TOL,"TOLUENE = 20,000 = 1ST PARTIAL","20,000",KG,"1,065.00/MT","20,000","20,000",20,"20,000",20,900,11/11/24,BANGLA
S/O2410-197,25/10/24,SAKATA INX (BANGLADESH) PRIVATE LIMITED,TOL,"TOLUENE = 20,000 = 2ND PARTIAL","20,000",KG,"1,065.00/MT","20,000","20,000",20,"20,000",20,950,11/11/24,BANGLA
S/O2410-198,25/10/24,SAKATA INX (BANGLADESH) PRIVATE LIMITED,MEK,"METHYL ETHYL KETONE = 18,000 KGS = ","18,000",KG,"1,300.00/MT","18,000","18,000",18,"18,000",18,1135,11/11/24,BANGLA
S/O2410-199,25/10/24,DIC PAKISTAN LIMITED,TOL,"TOLUENE = 70,884 KGS =",396,179-DR,"1,150.00/MT",396,70884,70.884,70884,70.884,950,11/11/24,PAKI
S/O2410-199,25/10/24,DIC PAKISTAN LIMITED,TOL,"TOLUENE = 14,320 KGS =",80,179-DR,"1,250.00/MT",80,14320,14.32,14320,14.32,950,11/11/24,PAKI
S/O2410-200,4/11/24,PACKAGES LANKA (PVT) LTD,IPA,ISOPROPYL ALCOHOL,25,162-DR,"1,520.00/MT",25,4050,4.05,4050,4.05,1262,11/11/24,SRI LANKA
S/O2410-200,4/11/24,PACKAGES LANKA (PVT) LTD,NPROPANO,N-PROPANOL,25,165-DR,"1,500.00/MT",25,4125,4.125,4125,4.125,,11/11/24,SRI LANKA
S/O2410-200,4/11/24,PACKAGES LANKA (PVT) LTD,PM,PROPYLENE GLYCOL MONOMETHYL ETHER (PM),20,190-DR,"1,480.00/MT",20,3800,3.8,3800,3.8,,11/11/24,SRI LANKA
S/O2410-200,4/11/24,PACKAGES LANKA (PVT) LTD,EP,ETHOXY PROPANOL,10,180-DR,"3,820.00/MT",10,1800,1.8,1800,1.8,,11/11/24,SRI LANKA
S/O2410-202,11/11/24,RECOCHEM INC,ACETONE,ACETONE =1 ISO= (+/-5%),18,MT,"1,250.00/MT",18,18000,18,18000,18,940,11/11/24,
S/O2410-203,25/10/24,3M INNOVATION SINGAPORE PTE LTD,METHANOL,METHANOL,8,163-DR,0.86/KG,8,1304,1.304,1304,1.304,,11/11/24,
S/O2410-207,1/11/24,PPG COATINGS (SINGAPORE) PTE LTD,P.3040,THINNER 20-05,"1,152",20 LTR,30.65/20 LTR,"1,152",17740.8,17.7408,17740.8,17.7408,1070,11/11/24,
S/O2410-208,28/10/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,THINNER 21-06,120,5 LTR,9.33/5 LTR,120,516,0.516,516,0.516,1100,11/11/24,
S/O2410-209,4/11/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,THINNER 21-06,"1,600",20 LTR,33.44/20 LTR,"1,600",27520,27.52,27520,27.52,1100,11/11/24,
S/O2410-210,28/10/24,PPG COATINGS (SINGAPORE) PTE LTD,THINNER 91-92 (20LT),THINNER 91-92 (20LT TIN),"4,320",20-LTR,34.16/20-LTR,"4,320",86400,86.4,86400,86.4,,11/11/24,
S/O2410-210,28/10/24,PPG COATINGS (SINGAPORE) PTE LTD,ISOBUTANOL,ISO-BUTANOL,16395.9552,0,0,0,16396,16.396,16395.9552,16.3959552,,11/11/24,
S/O2410-210,28/10/24,PPG COATINGS (SINGAPORE) PTE LTD,XYLENE,XYLENE,56287.1808,0,0,0,56287,56.287,56287.1808,56.2871808,1100,11/11/24,
S/O2410-212,28/10/24,CHEMTECH TRADING PTE. LTD.,P.100,AROMAX 100,8,180-DR,1.49/KG,0,0,0,1440,1.44,1050,4-Nov,
S/O2410-213,4/11/24,COIM ASIA PACIFIC PTE LTD,EAC,ETHYL ACETATE = BULK,"140,000",KG,0.83/KG,"140,000","140,000",140,"140,000",140,835,11/11/24,
S/O2410-214,4/11/24,GRAMOND PTE. LTD.,P.3040,ALIPAX 3040,10,161-DR,x,0,0,0,"1,610",1.61,,4-Nov,
S/O2410-215,28/10/24,SEGACHEM PTE. LTD,BAC,N-BUTYL ACETATE,2,180-DR,2.30/KG,2,360,0.36,360,0.36,,11/11/24,
S/O2410-215,28/10/24,SEGACHEM PTE. LTD,MIBK,METHYL ISOBUTYL KETONE,3,165-DR,3.20/KG,3,495,0.495,495,0.495,2218,11/11/24,
S/O2410-216,29/10/24,THE VALSPAR (S) CORP. PTE LTD,EAC,ETHYL ACETATE,12,180-DR,0.94/KG,0,0,0,2160,2.16,861,4-Nov,
S/O2410-218,28/10/24,THE VALSPAR (S) CORP. PTE LTD,ISOBUTANOL,ISO-BUTANOL,2,165-DR,1.30/KG,2,330,0.33,330,0.33,,11/11/24,
S/O2410-219,28/10/24,CHIN WAH,P.3040,ALIPAX 3040,5000,KG,1.25/KG,0,0,0,5000,5,932,4-Nov,
S/O2410-220,4/11/24,BOTTCHER SINGAPORE PTE LTD,IPA,ISOPROPYL ALCOHOL (40 tins x 14 kgs),560,KG,1.68/KG,0,0,0,560,0.56,1253,4-Nov,
S/O2410-221,4/11/24,BOTTCHER SINGAPORE PTE LTD,ALIPAX D40,ALIPAX D40,688,KG,1.86/KG,0,0,0,688,0.688,,4-Nov,
S/O2410-222,30/10/24,THE VALSPAR (S) CORP. PTE LTD,N-BUTANOL,N-BUTANOL,36,165-DR,1.155/KG,0,0,0,5940,5.94,,4-Nov,
S/O2410-223,30/10/24,LEA TAT CHEMICALS PTE LTD,P.3040,ALIPAX 3040,10,161-DR,1.00/KG,0,0,0,1610,1.61,911,11-Nov,
S/O2410-224,29/10/24,RECOCHEM INC,PM,PROPYLENE GLYCOL MONOMETHYL ETHER (PM)-METHOXY PROPANOL (16776-200RECW),52,190-DR,"1,490.00/MT",52,9880,9.88,9880,9.88,,11/11/24,
S/O2410-224,29/10/24,RECOCHEM INC,MIBK,METHYL ISOBUTYL KETONE (16772-200RECW),12,165-DR,"2,030.00/MT",12,1980,1.98,1980,1.98,1944,11/11/24,
S/O2410-224,29/10/24,RECOCHEM INC,PMA,PROPYLENE GLYCOL MONOMETHYL ETHER ACETATE (PMA)-METHOXY PROPYL ACETATE (16760-200RECW),8,200-DR,"1,490.00/MT",8,1600,1.6,1600,1.6,,11/11/24,
S/O2410-224,29/10/24,RECOCHEM INC,EAC,ETHYL ACETATE (16756-200RECW),8,180-DR,"1,180.00/MT",8,1440,1.44,1440,1.44,,11/11/24,
S/O2410-225,7/11/24,SENG FONG PAINTS PTE LTD,XYLENE,XYLENE (BULK-IBC ON LOAN),4,895KG-IBC,1.24/KG,0,0,0,3580,3.58,920,4-Nov,
S/O2410-226,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,EAC,ETHYL ACETATE,1,900KG-IBC,1.10/KG,0,0,0,900,0.9,820,4-Nov,
S/O2410-227,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,HEXANE,HEXANE (BULK),"4,800",KG,1.43/KG,0,0,0,"4,800",4.8,,4-Nov,
S/O2410-227,4/11/24,ASIA ADHESIVE MANUFACTURER P/L,HEXANE,HEXANE,35,137-DR,-/KG,0,0,0,4795,4.795,,4-Nov,
S/O2410-228,29/10/24,PRINTOCHEM LIMITED,EAC,ETHYL ACETATE,30,180-DR,"1,060.00/MT",30,5400,5.4,5400,5.4,840,11/11/24,BANGLA
S/O2410-228,29/10/24,PRINTOCHEM LIMITED,IPA,ISOPROPYL ALCOHOL,50,162-DR,"1,500.00/MT",50,8100,8.1,8100,8.1,1250,11/11/24,BANGLA
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,P.3040,ALIPAX 3040,4,161-DR,1.56/KG,0,0,0,644,0.644,1076,11-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,BG,BUTYL GLYCOL,1,185-DR,2.10/KG,0,0,0,185,0.185,,4-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.52/KG,0,0,0,165,0.165,1794,4-Nov,
S/O2410-229,4/11/24,KOH LEONG PAINT TRADING CO.,BAC,N-BUTYL ACETATE,4,180-DR,1.67/KG,0,0,0,720,0.72,,4-Nov,
S/O2410-230,4/11/24,GREIF EASTERN PACKAGING PTE LTD,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.30/KG,0,0,0,165,0.165,1630,4-Nov,
S/O2410-231,30/10/24,TECK LEONG KOON KEE,PRO BH,PROP BH (11TINS X 18LTR),154,KG,-/KG,140,140,0.14,154,0.154,,11/11/24,
S/O2410-232,30/10/24,LEA TAT CHEMICALS PTE LTD,ALIPAX D40,ALIPAX D40,5,158-DR,1.34/KG,0,0,0,790,0.79,,4-Nov,
S/O2410-233,4/11/24,LEA TAT CHEMICALS PTE LTD,ALIPAX D40,ALIPAX D40,5,158-DR,1.34/KG,0,0,0,790,0.79,,4-Nov,
S/O2410-234,30/10/24,THE VALSPAR (S) CORP. PTE LTD,EAC,ETHYL ACETATE (120210),8,180-DR,0.94/KG,8,1440,1.44,1440,1.44,861,11/11/24,
S/O2410-235,30/10/24,THE VALSPAR (S) CORP. PTE LTD,MEK,METHYL ETHYL KETONE (BULK),"20,000",KG,1.14/KG,"20,000","20,000",20,"20,000",20,1140,11/11/24,
S/O2410-236,30/10/24,THE VALSPAR (S) CORP. PTE LTD,MEK,METHYL ETHYL KETONE (BULK),"20,000",KG,1.14/KG,"20,000","20,000",20,"20,000",20,1140,11/11/24,
S/O2410-237,30/10/24,THE VALSPAR (S) CORP. PTE LTD,P.150,AROMAX 150 (033113),28,184-DR,1.25/KG,28,5152,5.152,5152,5.152,1172,11/11/24,
S/O2410-238,1/11/24,EQUITCHEM (S) PTE LTD,KERO,KEROSINE,1,1000LTR,1.00/LITRES,0,0,0,1000,1,,4-Nov,
S/O2410-239,1/11/24,AIK MOH PAINTS & CHEMICALS PL,P.100,AROMAX 100,10,180-DR,1.12/KG,0,0,0,1800,1.8,1040,4-Nov,
S/O2410-241,30/10/24,AIK MOH PAINTS & CHEMICALS PL,ACETONE,ACETONE (BULK),"18,000",KG,0.94/KG,"18,000","18,000",18,"18,000",18,940,11/11/24,
S/O2411-002,1/11/24,GRUNTEK INTERNATIONAL (S) PTE LTD,P.100,AROMAX 100,1,895KG-IBC,1.60/KG,0,0,0,895,0.895,1190,4-Nov,
S/O2411-003,1/11/24,"MITSUBISHI MOTORS (THAILAND) CO., LTD.",CEC-RF-02-08 E5 EURO,CEC-RF-02-08 E5 EURO5 (GASOLINE),2,43 KGS,33.00/KG,2,2,0.002,2,0.002,,11/11/24,
S/O2411-003,1/11/24,"MITSUBISHI MOTORS (THAILAND) CO., LTD.",GASOLINE EURO-6 CERT,GASOLINE EURO-6 CERT FUEL E10,3,43 KGS,33.00/KG,3,3,0.003,3,0.003,,11/11/24,
S/O2411-004,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL,"20,000",KG,0.94/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-005,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-006,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-007,1/11/24,THE VALSPAR (S) CORP. PTE LTD,BG,BUTYL GLYCOL (BULK),"20,000",KG,1.28/KG,"20,000","20,000",20,"20,000",20,,11/11/24,
S/O2411-008,1/11/24,INTERCHEM MANUFACTURING PTE LTD,XYLENE,XYLENE - BULK ,"17,000",KG,1.23/KG,"17,000","17,000",17,"17,000",17,918,11/11/24,
S/O2411-009,4/11/24,ALPHA ASSEMBLY SOLUTIONS,ACETONE,ACETONE (803001),8,160-DR,1.15/KG,0,0,0,1280,1.28,1060,4-Nov,
S/O2411-010,1/11/24,AIK MOH PAINTS & CHEMICALS PL,EAC,ETHYL ACETATE,50,180-DR,0.915/KG,50,9000,9,9000,9,835,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,MEK,METHYL ETHYL KETONE,320,0,0,0,320,0.32,320,0.32,,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,3M THINNER 1,3M THINNER 1,4,160-DR,-/KGS,4,640,0.64,640,0.64,,11/11/24,
S/O2411-011,1/11/24,3M INNOVATION SINGAPORE PTE LTD,MIBK,METHYL ISOBUTYL KETONE,320,0,0,0,320,0.32,320,0.32,,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,MIBK,METHYL ISOBUTYL KETONE,1,165-DR,2.64/KG SGD,0,0,0,165,0.165,1880,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,P.100,AROMAX 100,1,180-DR,1.63/KG ,0,0,0,180,0.18,1140,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,PMA-B,PMA (B),1,200-DR,1.75/KG,0,0,0,200,0.2,,11/11/24,
S/O2411-012,11/11/24,ADVANCE AND SHARE,BAC,,1,180-DR,1.68/KG,0,0,0,180,0.18,,11/11/24,
S/O2411-013,11/11/24,REDOX CHEMICAL,ALIPAX D80E,,12,160-DR,1.95,0,0,0,1920,1.92,,11/11/24,
S/O2411-013,11/11/24,REDOX CHEMICAL,ALIPAX D40,,2,158-DR,1.92,0,0,0,316,0.316,,11/11/24,
